Car,unacc,10,0,100.0,88.95348837209302,50.0,96.69421487603306,100.0,95.1219512195122,66.66666666666667,95.90163934426228,1,0.04577279090881348
Iris,Iris-versicolor,10,0,100.0,100.0,50.0,100.0,100.0,100.0,66.66666666666667,100.0,1,0.005480051040649414
Mushroom,p,10,0,100.0,97.24264705882354,50.0,99.51219512195122,100.0,93.57798165137615,66.66666666666667,96.45390070921987,1,0.25779271125793457
Abalone,9,10,0,100.0,27.33812949640288,50.0,25.263157894736842,100.0,33.333333333333336,66.66666666666667,28.74251497005988,1,0.8618245124816895
Breast Cancer,recurrence-events,10,0,100.0,76.92307692307692,50.0,57.142857142857146,100.0,57.142857142857146,66.66666666666667,57.142857142857146,1,0.006236553192138672
Heart Disease,0,10,0,100.0,43.333333333333336,50.0,68.75,100.0,78.57142857142857,66.66666666666667,73.33333333333333,1,0.031234264373779297
Credit Approval,+,10,0,100.0,80.88235294117646,50.0,77.77777777777777,100.0,60.869565217391305,66.66666666666667,68.29268292682926,1,0.04622459411621094
Car,unacc,10,0,88.95348837209302,87.20930232558139,96.55172413793103,92.0,93.33333333333333,95.83333333333333,94.91525423728814,93.87755102040816,0.3401346206665039,0.030287504196166992
Iris,Iris-versicolor,10,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.176666259765625,0.005208730697631836
Mushroom,p,10,0,100.0,96.9090909090909,100.0,99.51219512195122,100.0,92.72727272727273,100.0,96.0,2.8169031143188477,0.23544025421142578
Car,unacc,10,0,94.76744186046511,85.46511627906976,98.27586206896552,93.33333333333333,95.7983193277311,94.11764705882354,97.02127659574468,93.72384937238495,0.34645724296569824,0.03160214424133301
Iris,Iris-versicolor,10,0,93.33333333333333,93.33333333333333,87.5,87.5,100.0,100.0,93.33333333333333,93.33333333333333,0.1759181022644043,0.006148338317871094
Mushroom,p,10,0,100.0,96.94915254237289,100.0,100.0,100.0,92.3076923076923,100.0,95.99999999999999,2.8414199352264404,0.23508596420288086
Iris,Iris-versicolor,10,0,93.33333333333333,93.33333333333333,85.71428571428571,85.71428571428571,100.0,100.0,92.30769230769229,92.30769230769229,0.20059990882873535,0.005319833755493164
Iris,Iris-versicolor,10,0,93.33333333333333,93.33333333333333,100.0,100.0,80.0,80.0,88.88888888888889,88.88888888888889,0.18967247009277344,0.0053904056549072266
Iris,Iris-versicolor,10,0,86.66666666666667,93.33333333333333,66.66666666666667,80.0,100.0,100.0,80.0,88.88888888888889,0.17685580253601074,0.0052073001861572266
Iris,Iris-versicolor,10,0,93.33333333333333,80.0,87.5,83.33333333333333,100.0,71.42857142857143,93.33333333333333,76.92307692307692,0.17665934562683105,0.005331516265869141
Iris,Iris-versicolor,10,0,86.66666666666667,86.66666666666667,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,0.1782240867614746,0.005152463912963867
Iris,Iris-versicolor,10,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.1641979217529297,0.005167484283447266
Iris,Iris-versicolor,10,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.17037320137023926,0.005118131637573242
Iris,Iris-versicolor,10,0,93.33333333333333,93.33333333333333,83.33333333333333,83.33333333333333,100.0,100.0,90.9090909090909,90.9090909090909,0.16686725616455078,0.0052928924560546875
Iris,Iris-setosa,10,0,86.66666666666667,93.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,0.1843101978302002,0.0056726932525634766
Iris,Iris-setosa,10,0,93.33333333333333,93.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,0.1546628475189209,0.005263566970825195
Iris,Iris-setosa,10,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.16918253898620605,0.005300045013427734
Iris,Iris-setosa,10,0,93.33333333333333,93.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,0.16736054420471191,0.0052242279052734375
Iris,Iris-setosa,10,0,93.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.1665027141571045,0.005185604095458984
Mushroom,p,10,0,100.0,96.91470054446461,100.0,99.5,100.0,92.55813953488372,100.0,95.90361445783132,2.6489181518554688,0.24567604064941406
