dataset,min_sup %,No. of Conditional Trees, Total Patterns,FP_Growth time (s)
sample,22.0,5,13,0.0005
sample,100.0,-1,0,0.0001
sample,75.0,0,1,0.0002
chess,75.0,9178,20993,0.9935
mushroom,30.0,535,2735,0.5719
mushroom,30.0,119,2735,0.5721
mushroom,20.0,2815,53583,1.0934
sample,2.0,3,13,0.0009
sample,2.0,4,15,0.0014
sample,1.0,4,15,0.0007
mushroom,30.0,535,2735,0.5883
mushroom,50.0,41,153,0.3888
mushroom,70.0,9,31,0.3064
mushroom,30.0,280,2735,0.5872
sample,22.0,3,13,0.0007
sample,22.0,3,13,0.0008
sample,22.0,3,13,0.0008
sample,22.0,3,13,0.0007
sample,22.0,3,13,0.0024
sample,22.0,3,13,0.001
sample,22.0,3,13,0.0014
sample,22.0,3,13,0.0018
sample,22.0,3,13,0.0025
sample,22.0,3,13,0.0007
sample,22.0,3,13,0.001
sample,22.0,0,31,0.0003
sample,22.0,0,31,0.0005
sample,22.0,3,13,0.0016
mushroom,30.0,280,2735,0.7082
sample,22.0,3,13,0.0015
sample,22.0,3,13,0.0024
sample,22.0,3,13,0.003
sample,22.0,3,13,0.0009
sample,22.0,3,13,0.0027
sample,22.0,5,13,0.0017
mushroom,30.0,535,2735,0.791
mushroom,50.0,41,153,0.4295
sample,22.0,5,13,0.002
sample,22.0,3,13,0.0027
sample,30.0,0,9,0.001
sample,30.0,3,9,0.0011
sample,30.0,3,9,0.0009
sample,30.0,3,9,0.0009
sample,30.0,3,9,0.001
sample,33.0,3,9,0.0005
sample,33.0,3,9,0.0012
sample,33.0,1,9,0.0014
mushroom,30.0,280,2735,0.7361
mushroom,30.0,535,2735,0.7019
sample,40.0,3,7,0.0012
sample,25.0,3,11,0.0025
sample,20.0,3,11,0.0015
mushroom,70.0,9,31,0.2452
mushroom,70.0,9,31,0.243
mushroom,70.0,9,31,0.2626
mushroom,70.0,9,31,0.203
mushroom,70.0,9,31,0.2089
mushroom,30.0,535,2735,0.5135
mushroom,50.0,41,153,0.2999
mushroom,30.0,535,2735,0.516
mushroom,30.0,535,2735,0.5066
sample,20.0,3,11,0.0007
chess,75.0,9178,20993,0.9337
sample,20.0,3,11,0.0003
sample,20.0,3,11,0.0008
sample,20.0,3,11,0.0004
sample,20.0,5,11,0.0008
mushroom,30.0,0,65535,0.4709
mushroom,30.0,849,2735,0.5256
mushroom,50.0,60,153,0.2957
mushroom,70.0,13,31,0.2048
chess,80.0,4107,8227,0.4885
mushroom,30.0,1367,2735,0.5335
mushroom,20.0,26791,53583,2.0797
sample,20.0,5,11,0.0006
sample,20.0,5,11,0.001
sample,20.0,5,11,0.0011
sample,20.0,5,11,0.001
mushroom,30.0,1367,2735,0.5534
mushroom,30.0,1367,2735,0.5445
mushroom,30.0,535,2735,0.5096
mushroom,30.0,847,2735,0.538
mushroom,30.0,1057,2735,0.6685
mushroom,30.0,1057,2735,0.6746
mushroom,30.0,1057,2735,0.7246
mushroom,30.0,535,2735,0.4992
mushroom,30.0,451,2735,0.5159
mushroom,30.0,535,2735,0.5122
mushroom,70.0,9,31,0.2005
mushroom,30.0,774,2735,0.5315
mushroom,30.0,451,2735,0.5118
mushroom,30.0,456,2735,0.5144
mushroom,30.0,456,2735,0.5206
sample,20.0,3,11,0.0008
mushroom,30.0,456,2735,0.5138
mushroom,30.0,547,2735,0.505
sample,22.0,5,13,0.0007
mushroom,30.0,547,2735,0.5063
mushroom,30.0,535,2735,0.5001
mushroom,20.0,2815,53583,1.0695
mushroom,30.0,535,2735,0.5115
accidents,85.0,35,71,12.9749
